utterance,hat
Would you please go to a dancing party with me ?,yellow
I'm afraid you can't .,red
"i have felt that . One day when i was in a queue , reading a newspaper story , the man behind me peered through my shoulder and stared at the newspaper I was holding .",black
I can handle them without any trouble,black
I see . What about the salary ?,white
I can ’ t believe it ! I thought the Cougars were going to win for sure .,red
"Cafe au lait , cafe latte , cappuccino , cafe mocha ... I can't keep them all straight !",black
"Yes , do I have to work a whole year before I can take a vacation ?",black
yes . Do you intend to order a la carte or will you be having our seafood buffet ?,white
Thank you for that . And I will double your pay . __eou__,white
233-331-8828 . Let me give you my email address too . It's Tom861@gmail.com,yellow
"Then , why didn't you try to prevent it in the beginning ?",red
Make it three cups . Here comes Harry . __eou__,yellow
"I think the starting salary for a salesperson is between 1,500 - 2,000 Yuan . But the specific number will be determined according to your sales .",black
Silly me .,red
"Sure , I advise the sightseeing buses .",green
"Yes , I have . But I have to wait . __eou__",red
"Five o ’ clock that afternoon , and in my place , you know ?",yellow
"Yeah , I ’ m better after talking to you .",red
Silly me !,red
I would say do not make the e-mail exchange too long . A lot of times a connection via e-mail creates almost a false sense of intimacy . Quickly make sure there is a connection in the physical world .,black
"How do you do , Mr . James ? Thank you for asking me to come in .",yellow
"You said it . Ok , let's go in , Sandy . __eou__",yellow
"OK , I suppose , but she's had a rough time in the last few years , She got divorced .",white
"Fine , how are you doing ?",white
"Listen to the music ? And who will cook dinner , will you ?",red
"But look , it's so sunny out .",green
Tomorrow is my wife's birthday . We both love spicy Chinese dishes . I am wondering if you could recommend a good local restaurant where I can find some good spicy dishes .,black
And so I bought all these books on having kids and ...,yellow
"Oh , yes , I have . I worked part-time as a typewriter in a computer company when I was at college .",black
Look behind us at the mountains ! They're reflecting pink !,yellow
I don't know what to say . This can't be happening . Here's the obituary .,black
"But you should be considerate to the kids , it ’ s their nature to play .",green
"The article points out that many languages have been lost and will be lost , but others will continue to be used for generation , even if English continues to be the dominant language .",black
"I think so . Fresh air , white snow . It's so comfortable .",green
His face broke out and he said it was my fault ! __eou__,red
What do you think might be the source of its popularity ?,green
My mother-in-law just went into the hospital in L.A.Hank and I will be flying there tonight .,red
"Yes , please get some white bread , thick cut , some ham , not the processed stuff , some gouda cheese , some galla apples and . . .",green
A soft seat or hard one ?,green
"Yes , you are right . __eou__",white
Don ’ t mention it .,yellow
From Zhongshan Circus to City Bank .,green
Um — I was just thinking aloud .,yellow
"It has fresh air , and it is nicer than a big town .",white
I wonder if they left it sitting around too long before they served it .,black
"OK , so this is the main factory area . We're now walking past the printing machine . It's printing in four colours at the moment .",black
"Again ? You just went last week ! You spend more time at the nail salon than you do here at home ! Honestly , why do you need a manicure every week ?",black
"You may tell me both , Ma'am .",green
It's really there ? This all seems so surreal-like it's all one big nightmare .,red
I'm sorry . That's the only available time .,red
"Well , this connection might be a bit too slow for your needs . I suggest you get the premium package for fifty dollars a month which includes a connection speed of two megabytes . That way you can play games online without any lag . This package also includes a wireless router and a personal firewall absolutely free !",green
Home run by Okapi ! That puts this team ahead by two as we are at the bottom of the fifth inning here at Richie Stadium ! __eou__,yellow
"Well , it may not be that simple . Not everyone likes public transport .",black
"Yup , that ’ s him . He made millions of dollars selling bonds to people and ended up with a pile of cash when they became useless .",red
"Your resume mentioned that you had been the surveyor , which was a concurrent job , of a certain market survey company . What was your main work content ?",white
"Yes , and the food was horrible !",red
Let me wear you this diamond ring .,yellow
"Yes . We have . We chose the location in the northeast of the city , not too far from the airport and on the edge of the CBD .",black
Does everyone who gets laid off get to collect unemployment ?,white
How do you dispose of the waste in your factory ?,black
"When I was at school , I was quite good at track and field events . I was on the school team for the long jump , 100 and 200 meter sprints and the javelin .",green
Toilets are in the rear . I'm afraid all the toilets are fully occupied at the moment .,red
"I know . You have to decide if you want to attend a school in a city or in the country , a big school or a small school , a public or private school ...",black
Whatever am i going to tell me parents .,red
Yes . Isn't the director of that movie the same guy who directed Shaun of the Dead ?,black
"I see myself as being honest , diligent , persevering and creative . And I have a strong sense of responsibility .",white
"It's M , C , capital D . __eou__",white
"Ok , let's go . __eou__",yellow
My birthplace is Nanjing .,white
"Sorry , but she ’ s out .",red
"Of course . More than that , you have Italy pizza , English steak , kimchi and local specialties .",green
"Yes , thank you . I am really far behind on this project . Could you help me with the extra typing or xeroxing ?",white
"Hey ! I'm trying to be nice , and you still want to fight ! Did you get the statue or not ?",white
"I said , is Mr . Thomas there ?",white
He does everything so mindlessly that he is going to drive me crazy .,red
"Yes , I knew I could do that . Exactly how do I go about selling them ?",green
"Actually , I had a perfect plan for this afternoon , but it is totally ruined by the sand storm . I woke up this morning and found it was sunny . So I called Lucy and asked her to go shopping with me . We were going to look for a new purse . Now it turned out to be like this . Neither of us wants to go to outside anymore .",red
How long did it take you to get your driver's license ?,white
My main responsibility is trouble-shooting between top management and the general employees .,black
"My family setup is a bit different . In New York city , there're only three people , my mother , my stepfather and me . During this summertime , I fly out to California and live with my dad . Dad's getting",black
Alright . I'll have a cup of tea waiting for you . __eou__,yellow
A chess board ! Daddy is going to teach you how to play !,yellow
"I like it a lot . It has a very funny beginning , I think . It attracts your attention the moment you begin reading it .",black
"Oh , come on ! Don't be so sour . These are beautiful shirts . I know if we don't buy some today , you will never go shopping by yourself .",red
"It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ?",black
"Well , I seem to be a little bit lost here . I am worried that I ’ ll never find my way . What's worse . I forgot my glasses and as blind as a bat now .",green
"Oh , the food here really is bad . My soup was cold and meat , ur ... it was like leather .",red
she said that the columnist for the literary criticism column would be going on pregnancy leave soon and that I could be in charge of the column until she came back .,yellow
And thank you very much for letting me keep it so long .,red
"Gosh sir , thank you , sir ! I had no idea there were any positions opening up in our department .",yellow
"I'm sorry , I'm very tired . I'm going to bed early . I didn't have good time , and I don't really want to see you again .",red
Can you tell me how to improve myself ?,yellow
"I thought he was maybe gay , but I wasn't sure.Anyhow , you don't expect me to go into a gay bar , do you ?",white
Me too . She is so young and talented . She is not only a singer but also a great composer herself .,white
"They need to eat healthy foods , but they also have to increase the amount of exercise they do every day . They don't have to cut out fattening foods altogether , though .",green
That suits me fine . __eou__,yellow
I've been told that you are a very successful businessman abroad . I wonder how you managed to achieve such success ?,green
"Quick ! Pass me your binoculars . Look at that bird ... I've never seen one of those before . It's indigenous to Guiling , and an endangered species too . This is lucky !",black
Don't forget to ask when you can receive a reply .,white
"Well , if that's the case , I don't mind breaking the image that they might have or the standards that they have . I can only do what I know , and live how I've lived all my life , because I'm a fairly stubborn person .",black
I jumped the gun .,white
"Mike , come and look at this painting of shrimp ! It is so simple yet so vivid !",yellow
"No , I'd like to do something special for you on your birthday .",green
I know why we have reservations .,white
"We are sincere to make business with you , but the difference between your counter-offer and our price is too great .",black
How do you spend your afternoons ?,black
That's great . You can go take a look . __eou__,yellow
' All-you-can-eat ' dinner special .,green
I'll go together with you . __eou__,yellow
"Sorry , sir . We have only double tables left .",red
I want to have a few friends over for a dinner party to celebrate my birthday . Would you be able to come the next weekend on Saturday ?,yellow
I promise . We ’ re only going for a walk to get some exercise and to get some things done that we haven ’ t had time for .,green
"In a perfect world , we would like a home with a view of the lake .",green
It's an undergraduate scholarship offered by the American Minority Students Scholarship Association . I'm eligible for it because I'm Asian American .,green
"That's smart these days with all the news on skin cancer . Hey , there's everybody ! We made it ! __eou__",yellow
I'm afraid I don't like seafood quite well . Would you suggest some others ?,green
Come on . I know Li Lin is there . Let me talk to her .,green
I have found it quite different here from China since I came to the United States .,green
your daughter will be back soon . I'm going to start making dinner . You can just watch some TV in TV room if you like . We just bought a new TV with a LCD screen . The remote control is on the coffee ta,black
"You know , now that I think about it , I really don't have much more to say to you at all !",red
Rather . I'm afraid I didn't do very well .,red
I agree . As long as the food is not too bizarre once I saw some people eating insects . That is frightening .,white
"Oh , my God ! I feel nothing is going smooth .",red
"No , I never did . It's for my son . He loves it , and I made an agreement with him that he can eat it once a week .",white
I like spring and summer . The days are long and the nights are short . The sun rises early and sets late . I don't like autumn and winter . The days are short and the nights are long . The sun rises late __eou__,black
Haven't seen you for a long time,black
Yes . Let ’ s sleep on the sand . That ’ s most exciting ! __eou__,yellow
The notification period of my current job is not that long and I ’ m quite profession to English and I am happy with the traveling abroad as I ’ m good dealing with the people from other cultures . It makes the whole job even more interesting . I will send my resume to you still this week . __eou__,yellow
"most of them are office buildings , huge department stores , and hotels but some are just private homes . New York is one of the financial centers of the words so there are lots of very expensive places . __eou__",yellow
Take a look at the newest Barbie — Digital Barbie .,green
But ... OK . __eou__,white
I have a tuition scholarship from the university . Otherwise I ’ m on my own .,green
You have your ducks in a row .,yellow
I'll be there on time . __eou__,yellow
"But in my case , the fact matches the theory . Mike is humorous , energetic , always as fresh as a daisy , but probably too ambitious . It frightens me !",red
"It ’ s not easy , particularly with listening and speaking , because sometimes the connection isn ’ t too good .",white
Guess what ! I know something you don't know !,yellow
Hello Mike ! Would you like a drink ?,white
"Glad to hear your voice , David . __eou__",yellow
"You know , the one just on the corner with Oxford Street . There is a large pharmacy next door .",black
How could I feel easy ? I ’ m really pissed .,red
"Will you be free this afternoon , say from 3 to 4 ?",black
We came too early . There're still three hours before the performance starts .,white
I think we are running out of time . The bank is going to close soon . __eou__,yellow
I quarreled with my roommate last night . He is really stubborn .,red
He's a hero in our town .,yellow
That sounds good . But what do you want me to do there ?,white
How much do you want to change ?,green
I was just watching a documentary on TV about how people use dogs for various purpose . It was very interesting .,black
"Er , let me see . Oh , look , you're right here . Pretty close to the Olympic Park .",green
"There's always Gramercy Tavern . They have live jazz . The food is delicious , but very expensive .",green
Great idea ! I do it every so often .,yellow
"Fine , thanks . How's your boy , Jack ?",white
How do you do ? I need your help in selecting a foreign market to invest !,white
"How about this one ? It ’ s the latest design , simple but elegant .",green
10 in the morning ?,white
I've heard you're going to America tomorrow . I want to see you off at the airport .,yellow
At eight sharp.How about meeting in front of the club at about a quarter after seven ?,white
"I'II have another cup of beer insist . I know I don't like to drink alone , especially there are someone sitting there next to me .",yellow
"Never mind being sorry , what are you going to do about it ?",red
I love going out into the countryside for walks or bike ride . I love being out in the fresh summer air . How about you ?,black
The Mountains would be a great place for the company retreat .,yellow
"Thank you for your information . As you know , our corporation is a state-operated one . We always trade with foreign countries on the basis of equality and mu - dual benefit . Establishing business relations between us will be to our mutual benefit . I have no doubt that it will bring about closer ties between us .",black
"I'm sorry , sir , but may I see your driver's licence and insurance policy , please ? I have to give you a ticket .",red
No problem at all . Welcome . __eou__,yellow
It is a position in your Maintenance Department . Is it available ?,white
But it still hurts . I thought I loved him .,red
"I really like that restaurant ; you get a lot for your money there . But , they've westernized their food , so it's not actually that spicy .",white
"Don't be silly , forget about it . __eou__",yellow
"Yes , yes , I am sorry I won't keep you . It must get on your nerves when customers come in right at closing time . But they were such beautiful saucepans . I ’ d have bought them if I had made up my mind on the spot .",green
They'll still charge us a corkage fee .,yellow
It is the Colorado River . You can go down the river in a boat if you wish .,yellow
"Susan , I'm sorry . Did you look up those files I requested ?",white
My opponent bowled me with the very first ball . I was wondering if it's appropriate for me to play table tennis .,red
Wow . That sounds like a lot of fun . I am sorry I missed it .,red
Shall we go to a restaurant to celebrate ?,yellow
"Wow ! AC wins . It is a close shave , you know .",yellow
No good movies come to mind .,white
"Oh , here's a little token of my affection .",yellow
It doesn't matter . __eou__,yellow
That's a relief for me and a misery for the children .,black
"And then , it'll be dinner time , then homework , and then your Show is on.You are going to break your promise .",yellow
Are you kidding She is behind the times . That style went out last year .,white
I have no idea what you are talking about . I just want to know if it ’ s good and if I will be able to play solitaire without the computer crashing or freezing all the time !,red
Both rooms on the same card ?,green
"Surely , I'll have one made for you . You want a print ?",yellow
I can't stand the stupid guy any longer.It ' s unbelievable !,red
"When I was college , I passed Band Six of College English Test.All the foreign business men I've dealt with say my English is quite good .",black
I want to know whether you can handle the matters of registered permanent residence .,black
"Mr.Wang , we haven't discussed the mode of payment .",black
I failed the exam because I didn't study .,red
Buy more and get more special discount coupons .,green
"I'm sorry , I didn't mean to forget our wedding anniversary .",red
Not at all . That's what I should do . __eou__,white
Actually I do .,white
"For one thing , sir , the quality of the image is usually better.That ' s because it's digital .",green
"Oops , no , Daddy can't watch American Idol , either !",red
Don ’ t dress like that . You ’ ll make fool yourself . You look stupid in that robe .,red
So now do you want a full-time job or part-time job ?,black
This is worth trying . __eou__,green
"for me , traffic jams are quite stressful , because I'm pretty impatient . How can I prevent myself from getting stressed if I get stuck in a traffic jam ?",black
I recommend Nisei products . This brand has a face cream which is effective on fading freckles .,green
"After all that violence , people needed to laugh , so from the mid-to-late l940 ' s , many detective movies about policemen who solved crimes were made . Then came musicals .",yellow
I don't want to argue anymore . Please get out of my life !,red
And bugs . They can catch anything .,green
I try to adapt myself . __eou__,white
Have you ever had a job before ?,black
Lisa ? No way . I've heard a rumor that she and the boss were having an affair . You know rumors can't come out from nowhere .,black
That's fine . __eou__,yellow
No can do ... sorry .,red
Maybe you would like a heavy wool scarves . How about this one ?,green
That ’ s even better than the real thing .,green
"No , I have two older brothers and one younger sister . What about you ?",black
"Girl , don't make fun of your Daddy . But I can introduce him to my personal trainer . Maybe one day he will be a fitness freak instead of a cough potato .",black
"Thanks , Mark . I used to be a member of the school choir .",yellow
Great ! Thank you very much . __eou__,yellow
Why are you so bitter ? No one tells worse joke than you .,red
That ’ s what I can do . __eou__,yellow
"Since the early 1960 ' s , there are horror movies about people who encounter frightening , unnatural situations , and serious films such as documentarist about events that actually happened , and science fiction movies about possible friture and future worlds . Some people have also enjoyed watching psycho-dramas about the everyday problems that people have .",black
You could get the rakes and some shovels together and I'll put them in the car .,green
That ’ s one of the main reason we chose that particular house . The kitchen and dining room are together . It ’ s really large .,green
Give them a buzz ? What can I say to them ? Say that you want a loan ?,green
"No , but I have taken elective courses in computer in college .",black
I'm afraid he's not in at the moment Dave . He went out about an hour ago and he's not back yet .,red
I don't find it very exciting .,black
And this espresso looks like ... oil !,green
You mean the line over there of about 200 people ? !,red
Have you received any other honors ?,white
My son has really taken it out of me . He never keeps out of mischief .,red
"it's kind of a big favor . I'm absolutely flat broke , and I owe my landlady $ 200 . she's given me until Friday to give it to her , but I don't get paid until next Monday . Do you think you could loans",black
You know I wasn ’ t at the meeting . I was meeting with Mr . Wei about this account . I ’ Ve been on this for a month and a half .,red
"Have a wallet size print made for me , too .",yellow
What part of the film do you like best ?,white
OK . where and when ?,yellow
I keep on meeting with difficulties in the experiment . I can hardly go on .,red
I'm afraid I can't .,red
Should I come to the second floor or do you want to come to the first floor ?,black
"Down to his shoulders . It's beautiful , like gold .",yellow
I usually go on holiday during the spring or the autumn . I try to go somewhere where the weather is more reliable than in my city . __eou__,black
Great ! I'm your lucky fellow then . __eou__,yellow
Maybe that's why he didn't show up at the potluck . Have you seen him ?,white
There will be another sandstorm here tomorrow .,red
"Well , that's a good question . I haven't swum for almost two years . I think I need more practice .",green
Scientists have found a second solar system in the universe .,yellow
Stop talking like my mother . That's what she keeps saying .,red
"Let me have a look . Oh , no . They are Chinese poems which describe this happy scene . __eou__",yellow
I suggest you get off at the next stop and ask again at the station .,green
Let's eat the kind that has both spicy and mild broth in one pot .,green
"Well , it's all new stock in the window now .",green
"I know it's so exciting ! A new year is always like a clean slate . Fresh start to accomplish any dreams , objectives and goals .",yellow
"Mrs . Phoebe , here are your ordered goods . Please inspect the goods now .",white
Alright . Bye . __eou__,yellow
"I already tried to call up some of the guys , but they are all busy .",white
"That sounds interesting . I ’ ll send a fax home . As soon as I receive a definite answer , I ’ ll make a specific inquiry .",yellow
Do you think that I could have a different paint color in my apartment ?,green
I am so sorry to hear that . Is that enough ?,yellow
That works for me ! __eou__,red
"Great ! Is your , too ?",green
Have you thought about the electrician program over there ?,black
"Yes , please . I can't stand watching the channel any more .",red
"What ? Why ! I am taking an intercontinental flight ! I ’ m flying sixteen thousand CMS ! How am I supposed to only take two , twenty kilo bags ? That ’ absurd !",red
You look great . Your make-up is perfect .,yellow
"When you finish completing the request form , we will order and let you know when the supplies are here . Have a great day !",yellow
What kind of relationship do you think should exist between a supervisor and employee ?,black
"on top of that , there are a few large chemical factories in the suburbs , which are contributing to the high pollution levels in the water and the air in this city .",red
"Well , no . I thought I ‘ Ve finish in five minutes . and I didn ’ t want to be difficult about just few minutes , if I hadn ’ t been missing the bus and in the traffic I wouldn ’ t have been so late . I ’ m sorry .",red
Taking a yoga class or learning some relaxation techniques can help you cope with your stress .,black
I'll turn the heat up .,yellow
"Oh , sorry to have bothered you .",red
Here is the song list .,white
I'm here on vacation . __eou__,white
Does your chicken taste all right ?,black
Anytime . You can reach me at 5558929 .,yellow
"Well , step two is grinding the coffee beans . I've roasted three different types of beans .",green
Why ? Are they good ?,white
"I wanted to , but my insurance company wouldn ’ t let me . All of my stunts were done by a stuntman . As you know , I used to do my own stunts , but I ’ ll leave that to the experts in future .",black
Are you sensitive to other things ?,green
No . I like to be outside . I took up hiking and mountain biking . __eou__,green
Good . Let's go now .,yellow
"Yeah , tell me about it . I know ! Your mom is trying to learn Spanish , right ? Why don ’ t you get her a gift certificate for this great website I saw called SpanishPod .",yellow
That's brilliant ! We can name the grades of motor oil by where they come from .,yellow
"Oh , no .",red
"No way ! They want publicity for themselves , so that they get invited to make more films , go to lots of cocktail parties , and even make albums ! They have such an easy life . They don ’ t even pay for Drin",red
"Yeah , oh my god ! It ’ s still there . We have our first date right on there .",yellow
We will check with the parties concerned right away . __eou__,black
I didn't hear that . But I can deduce the reason .,black
I'll get knee to knee with her .,green
"Thanks a lot Ayden . Every little bit will help . Tell you what , if you aren't doing anything tonight , why don't you come over and have dinner at my place .",green
Of course . But I suggest you buy a lipgloss . The shining effect is in .,green
Full of energy and hope .,yellow
I just discovered that I owe $ 10 for a movie that I never ordered .,red
"Yes , it sure is . I had to run here from work ! I need to rush as I'm on my lunch break .",white
Now that's an exciting job ! ! !,yellow
"Some resolutions ? That's a wonderful idea , but I have no idea yet . How about you ?",yellow
That is a heavy raining afternoon . I was standing under the eaves of a shop to evade the heavy rain . It's getting dark .,yellow
"When you miss a day of school , I'll be happy to give you the English assignments .",yellow
"But , dad , it's stormy outside .",red
"OK , Allen . It's your turn . Are you ready ?",green
It's a recruiting agency which specializes in introducing talented people to companies and businesses .,black
"Hello , thanks for calling 123 Tech Help , I ’ m Todd . How can I help you ?",green
I hear that you've got a chance to go to Europe for a half-year training program . Is it true ?,black
"According to the story , it's some sort of modern dance style .",black
I think you're right . Aright . Gotta go to class . Thanks for the cigarette . I'll talk to you later .,white
"Yes , it's me . And you're Julie Ashley . How are you ?",white
Look at this one . It has a radio and cassette player and built in speakers .,green
Perhaps I could interest you in chocolate-covered strawberries with the champagne ?,green
He's endless talking about stocks almost bores me to death .,red
It looks like it's going to be sunny .,yellow
"Ok , let's do that , even though we may have to take a longer way . __eou__",green
I'm about to be swept away by millions of cockroaches !,red
"Could you tell me what university you want to go to , John ?",green
Very good idea . Sometimes such pictures can show the house's richness . __eou__,yellow
Let's take him some of Kitty's best and make the pitch again .,green
"Well . If it breaks down again tomorrow , I'll definitely buy a new one .",white
"Tom , I've got good news for you .",yellow
Go ahead . __eou__,green
"No , you haven ’ t . You just don ’ t care about me . You ’ re an indifferent husband .",red
It is great . But Tom's bike is so much better than mine .,white
You mean ... like on a second date ?,white
What's the difference ?,black
"A guy in my office got the flu the other day . Today I seem to have come down with it , too .",red
"You have no idea ! There's a banquet with prizes , performances ... you name it !",yellow
"Don't worry . Anyway , you are better than me . __eou__",red
How about here in Beijing ?,green
"You ’ re going to set up your own law office , aren ’ t you ?",yellow
most movies are . Another problem for me was the film was dubbed in German with English subtitles .,white
"Well , my particular interest is collecting stamps , especially the rare ones . What about you ?",yellow
Okay . See you then . __eou__,yellow
"Not from this brand , I'm afraid .",red
"No , sir . I'm sorry you can't . __eou__",red
"Very well , thanks , I will probably finish next week , but this is still a lot of work , I have been worked on in for six months , and i ' m so closed to end . I can fill in .",yellow
That ’ s my wish . __eou__,yellow
"No , he walks . He likes walking . He meets some of his friends at the corner another go together .",black
What's the criteria for staff to attend ? Are we only including our management team in this affair ? Or will we be extending invitations to lower level employees to attend ?,black
"I have to get home , but I don't need all of this fancy technology , I think I'll just walk . __eou__",yellow
it's his 50th birthday .,black
What about cigarettes or cigars ?,green
I'm afraid you can ’ t . You ’ re welcome to pay in cash . __eou__,red
How dreadful !,red
I am indeed . What can you tell me ?,green
Way to control is really using common sense when you plan your eating habits .,green
"I've been here for 3 years , and I haven't had a raise in all that time.If you like my work , it should be reflected in my pay , and I feel it isn't .",red
Shall we go downtown for a movie this Friday evening ?,black
there's an opening in the creative design department . It involves working with computers .,black
Don't worry . I'll make you another on the house . __eou__,green
is that your phone ?,white
"Sorry , what was your last name again ?",black
So what ?,red
"Yes . Take myself for example . I seldom go to cinemas , but it doesn't mean I no longer see films ; instead , I see films at home-watching Ccds . __eou__",green
Follow me . All the things you need as a woman are in aisles 10 and 11 . This section is usually near the medicine section in any supermarket .,green
"Yes , especially with so many of our executives going back and forth from here to Japan . The only problem is , they may have trouble when they go to open up business here .",black
How ’ s Thursday ? Does she have any time available then ?,white
"Well , I hate to have to say this , but I'm not happy with my room .",red
"Yes , the fuse had blown and I've changed it but now the motor keeps cutting out .",black
"Yes , and I have the warranty , too .",green
"It might take a long time . Because there is a line , you know .",green
"the food station was as crowded as usual . I waited for 20 minutes for my sandwich , and when I finally got it the chicken was underdone .",red
Have you ever been to any other country ?,black
My mother and my wife are always holding different ideas .,white
"I'm not exactly prepared right now . How about I go back to the office , get the relevant information and come back before closing ?",green
"Oh , I didn't think of that .",green
Do you know what E-commerce is ?,white
I'm very sorry to hear that .,red
"Hmm , that is bad . __eou__",red
"You haven't seen the sights yet , have you ?",green
I actually try to avoid name-brand items . I can't stand it when big companies advertise their products all over the place !,red
"Well , we went bungee jumping when we were in Australia .",yellow
"It's not only that she gossips , but she also tries to start problems among other employees by spreading rumors and telling lies about her co-workers.She ' s not trustworthy , and in my opinion , I think she's nuts .",black
Maths and chemistry were my favorite subjects at school . I also enjoyed history .,white
Why don't you make some corn ?,green
"Oh , I ’ m sorry . It completely slipped my mind .",red
I ’ m sorry . Our company has just opened . There are always too many things to handle . You know that .,red
Mr . Morris was so pleased with your sales work on his account that he went straight to the top with it . He wrote a letter about it to Mr . Macmillan ! __eou__,yellow
Sure . What about the cloth over there ? It's in fashion .,green
"Unexpectedly , a girl threw a bucket of water on me .",white
That ’ s the dumbest thing that I ’ Ve ever heard .,red
"I wanted to , but I ran into this foxy lady that just moved to my block ! I was chatting her up a bit and then we mellowed out at her place .",white
"Sorry , I'm very near sighted . __eou__",red
Looks can be deceiving .,green
"Scraping is too terrifying . When they finish scrapping , your body is all red , as if you were just tortured . Cupping is the same , your body ends up with red circles all over . It looks like someone beat you up .",red
That sounds like a nightmare !,red
"Well , I think I like it . I appreciate the snow very much .",white
Did you join in any club activities ?,black
Nothing . But he is in a bad mood today .,white
Give me a break . You don't care about the colors . You just like the hot babe on the cover .,black
"Yes , it's so exciting , though I had the most falls in our skiing team .",white
"He ’ s quite particular about what he wears , especially about his ties . He gets different tie each day .",yellow
"Actually , I study a lot less here than I did in Taiwan ! My classes are great , though . Sociology is the perfect major for me . __eou__",green
"Yeah , that's why I can enjoy myself in it .",white
"Sorry , we haven't made the decision at all . But we should be making the decision by the end of this week . And we'll get in touch with you once we make it .",black
Sure you can ; when would you like to come in ?,green
"I got you . Their competitive edge lies mainly in endurance and stamina . They are creatures from the savannah , and take to running like antelopes . __eou__",green
People fall in love with people they work with . That's a fact .,black
Oh dear ! What a pity ! Are you sure you lost the wallet in the theatre ?,red
"Hey , she is not worth it . Forget her .",white
I see . A set for appetizers and another for the main course .,green
"Yes , I want to know about the battle of Gettysburg .",black
"A highchair and car seat ! Wow Betty , thank you so much ! I really appreciate it !",yellow
"They wear the same clothes , they ’ re all blond , they all drive cars , they all own Parker fountain pens ; they all drink Coca Cola , and they all chew gum .",green
Why do you like that type of music ?,white
Your father looks much younger in the picture .,white
Coach .,green
"Worse still , he is trying to avoid me these days .",red
"Well , Superbad is super funny .",white
Yoga ? It sounds interesting .,green
Let's go quickly . __eou__,white
"Sorry , he's out .",red
"With that understanding , you can figure out what your company is looking for in terms of basic attitude . Right ?",black
What about ?,white
Do you have any hobbies besides playing chess ?,green
Wow . That's really good . And you think this is really a good system for a graduate student ?,green
But it is really worthwhile .,green
What about 260 dollars ?,green
"If it breaks down , maybe you can find a repairman on the Internet . __eou__",green
"Oh , I just can't forget it . __eou__",red
Yes . I have some many clothes stuffed into it . Perhaps I should get rid of some of them . There are clothes in there that I never wear anymore .,green
That should work out great . You are miracle worker ! You have got me awake and motivated .,yellow
No . I'm afraid the price is too low .,red
Let's go to the cinema by bus .,green
"I don't care about that , Allen ! What did he steal ? That's the question !",red
"The right opportunity for you would come along soon . You know , music is transnational .",yellow
I think it's a great idea . Studying abroad will offer you plenty of new opportunities . Are you planning on going abroad ?,green
I think you have chicken pox ! You are contagious ! Get away ! Don ’ t breathe on me !,red
"Yes . If you put a few drops on someone's eyelids while he's asleep , he'll fall in love with the first person he sees when he wakes up .",yellow
Yes . I practice every weekend with my teammates .,black
Sure . I can come over . What should we do ?,white
But she did and it made me disappointed .,red
"Yes , we have various sauces . What about the gravy ? __eou__",green
"Hmm ... well , it was my first attempt ! Is it a very big mistake , or can we just alter it ?",green
You were lucky then . What did you do after that ?,white
Come on ! If one of your friends was getting married I wouldn ’ t mind you going to her bachelorette party !,white
Why ? You make me confused .,white
While the pale color symbolizes beauty and elegance in most Asia countries .,white
Some people are easily flimflammed .,green
a bit ? I'm extremely annoyed that he didn't phone me when he promised me that he would ! He's such a liar .,red
are you very close to your first-cousins ?,black
let ’ s go together . __eou__,yellow
"You have worked very hard in the office . If we can get someone to help you , you can have more rest .",green
You ’ re great . Could you say it in Chinese ?,yellow
"That is just a natural , grammatical English expression . It has a direct translation in other languages .",green
"He does , he started five years ago and now ends up the richest among us .",white
I don't care what the best part is . Whatever you say won't change my mind . I'm not buying anything !,white
What were you mean duties there ?,white
It sucks . But Arden told me he's satisfied with my qualifications and experience .,red
That's too bad.What kind of accident is it ? Are you all right ?,red
I'll look up the rate . To look up doesn't mean to look high into the sky or to look at the roof . It means to search for and find some information .,green
That is him . __eou__,white
"Everything , sir , including the air tickets , accommodation and gate tickets .",green
"Well , in the fifties , that clock used to be inside a drive-in burger joint .",green
"oh , no ! I thought it seemed a bit strange .",red
Tomorrow is Christmas and I haven ’ t bought my mom anything ! I ’ m such a bad son !,red
"I can't believe it . But if you both determine to divorce , I hope you will have an amicable split .",white
"Thanks . Well , those two kids are beginners . What should I do about their safety ?",green
"Devi , do you have any preference for where you would like to go for dinner for your birthday ?",white
I might just ! Enjoy your stupid game ! __eou__,red
"I hate the bus system in London ! The bus drivers are rude , the buses are never on time , and there are few people around who can help you .",red
"I'm afraid not , sir . I've made up my mind . It's something I have to do .",red
"Hey , sorry to be late .",white
Mom ! ! ! Please . All my friends have had it for years .,red
"Have a nice journey , Lily .",white
I certainly have .,green
we'll need two bedrooms . the kitchen and dining room can be separate or combined .,green
Yes . It is one of the most harmful computer viruses in the world . People say it will break out again om Valentines ' Day this year .,red
"That sounds good . How are you doing , Linda ?",white
Yes.Please get this memo typed up and distributed to all employees before 4 pm . __eou__,white
"I'm afraid there's a bit of a problem . In fact , he's booked up the whole week except tomorrow afternoon .",white
I heard you received a prize for you book .,yellow
"Warm water can be good for your stomach , which is empty at that moment . And freshness can keep the water active to clean your digest system .",green
You can touch them only between the shoulder and the knees .,black
"Sometimes people in different countries , or even in different parts of the same country have varying outlooks because of the tribe and culture . __eou__",black
But I don ’ t like them.It ’ s not fair .,red
